cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker
09.414.761/0001-64;22446;K-INFRA RODOVIA DO AÇO S.A.;K-INFRA RODOVIA DO AÇO S.A.;2008-03-04;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;RODOVIA BR 393 KM 233 + 600;Nº 61.701;CARVALHEIRA;VASSOURAS;RJ;27700000.0;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;Concessionária de exploração da Infra Estrutura Rodoviária Federal, mediante cobrança de pedágio. Contrato firmado com a Agencia Nacional de Transportes Terrestres.;www.rodoviadoaco.com.br;
09.146.451/0001-06;25798;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;;2007-09-27;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua João Lourenço 432;Sala 30;Vila Nova Conceição;SÃO PAULO;SP;4508030.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;(a) incorporação, construção e comercialização de empreendimentos imobiliários de qualquer natureza (b) locação de imóveis próprios ou de terceiros (c) participação em outras sociedades.;www.grupokallas.com.br;['KLAS3']
43.283.811/0001-50;25631;KALUNGA S.A.;KALUNGA S.A.;1972-05-16;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua da Mooca, 766;4º e 5º andares;Mooca;SÃO PAULO;SP;3104010.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Atividade de comércio atacadista e varejista de papelaria, artigos escolares, materiais para escritório, produtos de informática, além da prestação de serviços de gráfica rápida.;www.kalunga.com.br;
82.640.558/0001-04;4146;KARSTEN SA;KARSTEN;1933-12-23;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Rua Johann Karsten;nº 260;Testo Salto;BLUMENAU;SC;89074700.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Fabricação, exportação, importação e o comércio atacadista e varejista de fios, tecidos e produtos têxteis em geral.;www.karstensa.com.br;['CTKA3', 'CTKA4']
91.983.056/0001-69;7870;KEPLER WEBER SA;KEPLER WEBER SA;1935-01-01;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua do Rócio;nº 84, 3º andar;Vila Olímpia;SÃO PAULO;SP;4552000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Indústria e comércio de produtos e matérias primas relacionadas a metalurgia, importação e exportação, prestação de serviços, comércio de produtos destinados a agroindústria.;www.kepler.com.br;['KEPL3']
89.637.490/0001-45;12653;KLABIN S.A.;KLABIN;1978-11-08;Papel e Celulose;FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Faria Lima, 3600;3°, 4° e 5° andares;Itaim Bibi;SÃO PAULO;SP;4538132.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Empresa brasileira de base florestal. Produtora de papéis e cartões para embalagens, embalagens de papelão ondulado e sacos industriais, além de ser recicladora e produtora de toras para serrarias.;www.klabin.com.br;['KLBN11']
13.270.520/0001-66;25879;KORA SAÚDE PARTICIPAÇÕES S.A.;;2011-12-08;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Avenida Desembargador Santos Neves;nº 207;Santa Lúcia;VITÓRIA;ES;29056055.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Holding de instituições não financeiras com fim a prestação de serviços de atenção a saúde humana, limpeza, planos de saúde, bem como outras atividades secundárias como aluguel de imóveis.;https://www.korasaude.com.br/;['KRSA3']
17.159.229/0001-76;26182;LABORATÓRIO TEUTO BRASILEIRO S.A.;LABORATÓRIO TEUTO BRASILEIRO S.A.;1957-03-25;Farmacêutico e Higiene;FASE OPERACIONAL;PRIVADO;VP 7D, Módulo 11 Quadra 13;;Distrito Industrial;ANÁPOLIS;GO;75132901.0;KPMG AUDITORES INDEPENDENTES LTDA.;Fabricação, importação, exportação, comercialização e transporte de produtos farmacêuticos (para a linha humana e veterinária), incluindo produtos farmacêuticos.;ri.teuto.com.br;
26.462.693/0001-28;25062;LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A;;2016-09-28;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida Angélica, 2346;8º andar CJ 84;Bairro Consolação;SÃO PAULO;SP;1228200.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Incorporadora Imobiliária;www.lavvi.com.br;['LAVV3']
21.414.457/0001-12;23558;LEADS CIA. SECURITIZADORA;LEADS CIA. SECURITIZADORA;2014-10-15;Securitização de Recebíveis;FASE OPERACIONAL;PRIVADO;RUA IGUATEMI, 192;CONJUNTO 204;ITAIM BIBI;SÃO PAULO;SP;1451010.0;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;Securitização de direitos creditórios comerciais,industriais,imobiliários,financeiros e doagronegócioemissão de valores mobiliariosprestação de serviços relacionados a atividade desecuritização.;www.leadsec.com.br;
