;cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker;ibov
1;12.091.809/0001-55;25291;3R PETROLEUM OLÉO E GÁS S.A.;;2010-06-08;Petróleo e Gás;FASE OPERACIONAL;PRIVADO;Praia de Botafogo, 186;SL 1401, 1501;Botafogo;RIO DE JANEIRO;RJ;22250145.0;KPMG AUDITORES INDEPENDENTES LTDA.;Exploração e produção de petróleo e gás natural (segmento upstream), e atuação nos segmentos midstream e downstream.;http://ri.3rpetroleum.com.br/;['RRRP3'];True
3;01.851.771/0001-55;16284;524 PARTICIPAÇOES SA;524 PARTICIPACOES SA;1997-04-02;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Av. Presidente Antônio Carlos, nº 51;10º andar (pte);Centro;RIO DE JANEIRO;RJ;20020010.0;BKR - LOPES, MACHADO AUDITORES;Holding - participação em outras sociedades;http://www.524participacoes.com.br/home/index.aspx;['QVQP3'];False
6;12.528.708/0001-07;25283;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;;2020-08-17;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Rodovia CE-155;km. 2;CIPP;CAUCAIA;CE;61642000.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Exploração de negócio de construção e comercialização de pás de rotores para turbinas utilizadas na geração eólica de energia.;www.ri.aerisenergy.com.br;['AERI3'];False
7;37.663.076/0001-07;25640;AES Brasil Energia S/A;AES BRASIL ENERGIA S.A.;2020-03-20;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Av. Luiz Carlos Berrini, 1.376;12º Andar Torre A;Brooklin Paulista;SÃO PAULO;SP;4571936.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;HOLDING DE INSTITUIÇÕES NÃO FINANCEIRAS;http://ri.aesbrasil.com.br;['AESB3'];False
8;00.194.724/0001-13;26174;AES BRASIL OPERAÇÕES S.A.;AES BRASIL OPERAÇÕES S.A.;1994-09-14;Energia Elétrica;PARALISADA;PRIVADO HOLDING;Rodovia SP 294 - Comandante João Ribeiro de Barros, Km 348;Sala 07;Distrito Industrial;BAURU;SP;17064868.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Geração e comercialização de energia elétrica;http://ri.aesbrasil.com.br;['AESO3'];False
9;10.338.320/0001-00;22179;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;2008-08-18;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Praia do Flamengo, 78;10º andar;Flamengo;RIO DE JANEIRO;RJ;22210904.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Transmissão de Energia Elétrica;http://ri.neoenergia.com/;['AFLT3'];False
11;21.240.146/0001-84;25658;AGROGALAXY PARTICIPAÇÕES S.A;AGROGALAXY PARTICIPAÇÕES S.A;2014-10-02;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Iguatemi, 192;10º andar;Itaim Bibi;SÃO PAULO;SP;1451010.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Comércio de insumos agrícolas (fertilizantes, defensivos biológicos, inoculantes e sementes) e de grãos;http://ri.agrogalaxy.com.br;['AGXY3'];False
17;17.167.396/0001-69;9954;ALFA HOLDINGS S.A.;ALFA HOLDINGS;1969-08-11;Intermediação Financeira;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Paulista, 2.150;17 andar;Bela Vista;SÃO PAULO;SP;1310300.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Emp. Adm. Part. - Intermediação Financeira;www.bancoalfa.com.br;['RPAD3', 'RPAD6', 'RPAD5'];False
19;42.771.949/0001-35;24058;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;1992-08-05;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Avenida Presidente Juscelino Kubitschek, 1830;Sala 111 - Bloco 1;Vila Nova Conceição;SÃO PAULO;SP;4543900.0;BKR - LOPES, MACHADO AUDITORES;Prestação de serviços de medicina diagnóstica;https://ri.allianca.com/;['AALR3'];False
20;20.247.322/0001-47;25330;ALLIED TECNOLOGIA S.A.;ALLIED TECNOLOGIA S.A.;2014-04-10;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida das Nações Unidas, n° 12.995;22° (parte) e 23º;Brooklin Paulista;SÃO PAULO;SP;4578911.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Desenvolvimento e licenciamento de plataformas digitais para comercialização de serviços de tecnologia, além de soluções logísticas e de distribuição de produtos.;http://www.ri.alliedbrasil.com.br;['ALLD3'];False
21;05.878.397/0001-32;22357;ALLOS S.A.;ALLOS S.A.;2003-07-17;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO HOLDING;Avenida Afrânio de Melo Franco, 290;1º andar;Leblon;RIO DE JANEIRO;RJ;22430060.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Planejamento, desenvolvimento, implantação e investimentos na área imobiliária, nomeadamente em Shopping Centers e a participação em outras sociedades e/ou em fundos de investimento imobiliário.;www.allos.co;['ALOS3'];True
22;60.537.263/0001-66;24953;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;1989-04-19;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Avenida Presidente Juscelino Kubitschek, 1830;Torre 3 - 3º andar;Vila Nova Conceição;SÃO PAULO;SP;4543000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Outras atividades de publicidade não especificadas anteriormente gestão de ativos intangíveis não-financeiros outras atividades de serviços pessoais não especificadas anteriormente.;https://ri.estapar.com.br;['ALPK3'];False
24;61.079.117/0001-05;10456;ALPARGATAS SA;ALPARGATAS;1907-04-03;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Av. das Nações Unidas, 14261;Ala A, 10o andar;Vila Gertrudes;SÃO PAULO;SP;4794000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Indústria e comércio de calçados e artigos esportivos;www.alpargatas.com.br;['ALPA3', 'ALPA4'];True
25;11.721.921/0001-60;22217;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;BR INSURANCE CORRETORA DE SEGUROS S.A.;2010-03-10;Seguradoras e Corretoras;FASE OPERACIONAL;PRIVADO;Rua Gilberto Sabino;215 - 13º andar;Pinheiros;SÃO PAULO;SP;5425020.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia tem por objeto social a corretagem e administração de seguros de todos os ramos, participação no capital social de outras sociedades e prestação de serviços de consultoria empresarial.;https://www.alperseguros.com.br;['APER3'];False
26;16.811.931/0001-00;25275;ALPHAVILLE S.A.;;2012-02-13;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida das Nações Unidas, 14.171;7º andar-Torre A;Vila Gertrudes;SÃO PAULO;SP;4794000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Holding controladora de empresas que atuam no setor de urbanismo e desenvolvimento de empreendimentos imobiliários.;https://www.alphaville.com.br/home;['AVLL3'];False
30;08.364.948/0001-38;21490;ALUPAR INVESTIMENTO S/A;ALUPAR INVESTIMENTO S/A;2006-09-27;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Gomes de Carvalho, nº 1996;16 andar;Vila Olímpia;SÃO PAULO;SP;4547905.0;KPMG AUDITORES INDEPENDENTES LTDA.;a participação em outras sociedades atuantes nos setores de energia e infra-estrutura, no Brasil ou no exterior a geração, transformação, transporte, a distribuiçãoe o comércio de energia.;www.alupar.com.br;['ALUP11'];False
32;07.526.557/0001-00;23264;AMBEV S.A.;AMBEV S.A;2005-07-08;Bebidas e Fumo;FASE OPERACIONAL;ESTRANGEIRO HOLDING;Rua Dr. Renato Paes de Barros, 1.017;4º andar;Itaim Bibi;SÃO PAULO;SP;4530001.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Fabricação e distribuição de cervejas, refrigerantes e bebidas não carbonatadas e não alcoólicas.;http://ri.ambev.com.br;['ABEV3'];True
33;12.648.266/0001-24;24961;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;2010-08-16;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Avenida Pacaembu;1.088;Pacaembu;SÃO PAULO;SP;1234000.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Gerenciamento e valorização de resíduos, bem como, prestação de serviços de atendimento a emergência.;https://ri.ambipar.com/;['AMBP3'];False
34;00.776.574/0001-56;20990;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2006-12-13;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Sacadura Cabral, 102;Parte;Saúde;RIO DE JANEIRO;RJ;20081902.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Comércio varejista e atacadista em geral de quaisquer bens e serviços por meio de diversos meios, em especial, da Internet e de lojas físicas, sem restrição a outros meios.;https://ri.americanas.io/;['AMER3'];False
36;33.050.071/0001-58;3050;AMPLA ENERGIA E SERVIÇOS S.A.;AMPLA;1909-06-01;Energia Elétrica;FASE OPERACIONAL;ESTRANGEIRO;Avenida Oscar Niemeyer 2000;bl 01, sl 701;Santo Cristo;RIO DE JANEIRO;RJ;20220297.0;KPMG AUDITORES INDEPENDENTES LTDA.;Distribuição de energia elétrica;https://ri.enel.com/;['CBEE3'];False
38;09.288.252/0001-32;23248;ANIMA HOLDING S/A;;2007-10-05;Educação;FASE OPERACIONAL;PRIVADO HOLDING;Rua Harmonia, 1250;9° andar;Sumarezinho;SÃO PAULO;SP;5435001.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Administração, direta ou indireta, de atividade de instituições de 3º e 4º graus, educaçãoprofissional.;http://ri.animaeducacao.com.br/;['ANIM3'];False
39;16.590.234/0001-76;22349;AREZZO INDÚSTRIA E COMERCIO S/A;AREZZO INDÚSTRIA E COMERCIO S/A;1972-09-15;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Rua Fernandes Tourinho n° 147;sala 402;Bairro Savassi;BELO HORIZONTE;MG;30112000.0;KPMG AUDITORES INDEPENDENTES LTDA.;O principal ramo de atividade da Companhia é a industrialização e a comercialização de artigos de couro e de plástico em geral, incluindo sapatos, bolsas e acessórios.;www.arezzoco.com.br;['ARZZ3'];True
45;00.242.184/0001-04;26069;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;;1994-10-05;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Av. Marcos Penteado de Ulhôa Rodrigues, 939, Conj. 701 e 702;Torre II, Ed. Jatobá;Tamboré;BARUERI;SP;6460040.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Locação de máquinas e equipamentos pesados;https://armac.com.br/;['ARML3'];False
49;75.315.333/0001-09;24171;ATACADÃO S.A.;ATACADÃO S.A.;1980-08-13;Comércio (Atacado e Varejo);FASE OPERACIONAL;ESTRANGEIRO;Avenida Morvan Dias de Figueiredo;6169;Vila Maria;SÃO PAULO;SP;2170901.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Comércio varejista e atacadista de mercadorias em geral Carga e descarga Correspondentes de instituições financeiras Atividades de teleatendimento Serviços de Alimentação entre outros;ri.grupocarrefourbrasil.com.br;['CRFB3'];True
50;04.032.433/0001-80;19100;ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL;ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL;2000-07-31;Comunicação e Informática;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Rua Beneditinos, n.º 15/17, Parte;;Centro;RIO DE JANEIRO;RJ;20081050.0;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;A ATMA Participações S.A. tem como objeto social a participação, direta e indireta, em outras sociedades comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior.;www.atmasa.com.br;['ATMP3'];False
51;00.359.742/0001-08;15423;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;;Sem Setor Principal;FASE OPERACIONAL;PRIVADO HOLDING;Rua Eulália Silva, 454;Sala 81;Jardim Faculdade;SOROCABA;SP;18030230.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Holding de instituições não financeiras.;www.atompar.com.br;['ATOM3'];False
53;28.594.234/0001-23;26620;AUREN ENERGIA S.A;AUREN ENERGIA S.A;2017-08-01;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Av. dra Ruth Cardoso, 8.501;2º andar, sala 11;Pinheiros;SÃO PAULO;SP;5425070.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Participação em empresas de geração, transmissão e comercialização de energia elétrica e a prestação de serviços correlatos.;ri.aurenenergia.com.br;['AURE3'];False
61;61.351.532/0001-68;11975;AZEVEDO & TRAVASSOS SA;AZEVEDO & TRAVASSOS;1922-06-25;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua Vicente Antônio de Oliveira, 1.050;;Vila Mirante;SÃO PAULO;SP;2955080.0;TATICCA AUDITORES INDEPENDENTES S.S. - EPP;Execução de obras de construção pesada junto à órgãos púbicos e iniciativa privada.;www.azevedotravassos.com.br;['AZEV3', 'AZEV4'];False
62;09.305.994/0001-29;24112;AZUL S.A.;AZUL S.A.;2008-01-03;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Avenida Marcos Penteado de Ulhôa Rodrigues 939;8º andar;Tamboré;BARUERI;SP;6460040.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Transporte e Logística;www.voeazul.com.br;['AZUL4'];True
63;09.346.601/0001-25;21610;B3 S.A. - BRASIL, BOLSA, BALCÃO;B3;2007-12-14;Bolsas de Valores/Mercadorias e Futuros;FASE OPERACIONAL;PRIVADO;Praça Antonio Prado, 48;7º andar;Centro;SÃO PAULO;SP;1010901.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Principais atividades: administrar mercados organizados de títulos e valores mobiliários prestar serviços de registro, compensação e liquidação e de suporte à operações de financiamento;http://www.b3.com.br/pt_br/;['B3SA3'];True
64;45.987.245/0001-92;701;BAHEMA EDUCACAO S.A.;BAHEMA;1960-11-19;Educação;FASE OPERACIONAL;PRIVADO;Rua Professor Vahia de Abreu, 340;sala 1;Vila Olímpia;SÃO PAULO;SP;4549002.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Prestação de serviços educacionais, diretamente ou por meio de participação em outras sociedades, nas áreas de educação pré-escolar, infantil e básica (ensino fundamental ao ensino médio).;http://www.bahema.com.br;['BAHI3'];False
65;28.195.667/0001-06;20958;BANCO ABC BRASIL S/A;BANCO ABC BRASIL S/A;1983-12-27;Bancos;FASE OPERACIONAL;ESTRANGEIRO;AV. CIDADE JARDIM, 803;2º ANDAR;ITAIM BIBI;SÃO PAULO;SP;1453000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;O Banco tem por objeto a prática de operações ativas, passivas e acessórias inerentes às respectivas carteiras autorizadas pelo Banco Central do Brasil.;www.abcbrasil.com.br;['ABCB4'];False
66;61.186.680/0001-74;24600;BANCO BMG S/A;BANCO BMG S/A;1965-03-25;Bancos;FASE OPERACIONAL;PRIVADO;Avenida Presidente Juscelino Kubitschek, nº 1830;10º andar;Vila Nova Conceição;SÃO PAULO;SP;4543000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Prática de todas as operações ativas, passivas e acessórias permitidas nas normas legais e regulamentares para o funcionamento dos bancos com carteira comercial, de investimento, inclusive câmbio;www.bancobmg.com.br/ri;['BMGB4', 'BMGB11'];False
67;60.746.948/0001-12;906;BANCO BRADESCO S.A.;BANCO BRADESCO S.A.;1943-03-02;Bancos;FASE OPERACIONAL;PRIVADO;NÚCLEO CIDADE DE DEUS;S/N;VILA YARA;OSASCO;SP;6029900.0;KPMG AUDITORES INDEPENDENTES LTDA.;Prática de operações bancárias em geral, inclusive câmbio;www.bradesco.com.br;['BBDC3', 'BBDC4'];True
68;30.306.294/0001-45;22616;BANCO BTG PACTUAL S/A;BANCO UBS PACTUAL S/A;1979-01-18;Bancos;FASE OPERACIONAL;PRIVADO;Praia de Botafogo, 501;5º e 6º andares;Botafogo;RIO DE JANEIRO;RJ;22250040.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;A Companhia e suas controladas formam um grupo de prestação de serviços financeiros sediado no Brasil, atuando como banco múltiplo, com carteira de investimento, nos termos dalegislação aplicável.;https://www.btgpactual.com;['BPAC11'];True
69;04.902.979/0001-44;922;BANCO DA AMAZÔNIA S.A.;BANCO DA AMAZONIA S.A.;1942-07-09;Bancos;FASE OPERACIONAL;ESTATAL;AVENIDA PRESIDENTE VARGAS , 800;SECRE;CAMPINA;BELÉM;PA;66017910.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;www.bancoamazonia.com.br;['BAZA3'];False
71;00.000.000/0001-91;1023;BANCO DO BRASIL S.A.;BANCO DO BRASIL S.A.;1905-12-30;Bancos;FASE OPERACIONAL;ESTATAL;SAUN QUADRA 05, LOTE B;ED. BB;ASA NORTE;BRASÍLIA;DF;70040912.0;KPMG AUDITORES INDEPENDENTES LTDA.;Banco Múltiplo;www.bb.com.br;['BBAS3'];True
72;13.009.717/0001-46;1120;BANCO DO ESTADO DE SERGIPE SA;BANESE;1963-06-18;Bancos;FASE OPERACIONAL;ESTATAL;Rua Olímpio de Souza Campos Júnior, 31;;Inácio Barbosa;ARACAJU;SE;49040840.0;KPMG AUDITORES INDEPENDENTES LTDA.;;www.banese.com.br;['BGIP3', 'BGIP4'];False
73;04.913.711/0001-08;1171;BANCO DO ESTADO DO PARÁ S/A.;BANPARÁ S.A.;1960-07-01;Bancos;FASE OPERACIONAL;ESTATAL;Av. Presidente Vargas, n° 251;4° andar;Campina;BELÉM;PA;66010000.0;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;O Banpará, pessoa jurídica de direito privado, constituída como S.A. aberta, de economia mista, estruturada como banco múltiplo. Atua na execução de políticas públicas de fomento à economia do Estado.;https://www.banpara.b.br/;['BPAR3'];False
74;92.702.067/0001-96;1210;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;BANRISUL S/A;1928-09-12;Bancos;FASE OPERACIONAL;ESTATAL;Rua Capitão Montanha, 177;4º andar;Centro;PORTO ALEGRE;RS;90010040.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Banco Múltiplo atuante nas carteiras comercial, crédito, financiamento e investimento, crédito imobiliário, desenvolvimento e arrendamento mercantil e de investimentos.;www.banrisul.com.br/ri;['BRSR3', 'BRSR6', 'BRSR5'];False
75;07.237.373/0001-20;1228;BANCO DO NORDESTE DO BRASIL SA;BANCO DO NORDESTE;1952-07-19;Bancos;FASE OPERACIONAL;ESTATAL;AV. DR. SILAS MUNGUBA;5.700;PASSARÉ;FORTALEZA;CE;60743902.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Banco Múltiplo com Carteira Comercial;www.bnb.gov.br;['BNBR3'];False
76;17.184.037/0001-10;1325;BANCO MERCANTIL BRASIL SA;BANCO MERCANTIL DO BRASIL S/A;1940-01-01;Bancos;FASE OPERACIONAL;PRIVADO;Avenida do Contorno, 5800;14º andar;Savassi;BELO HORIZONTE;MG;30110042.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Finanças, Banco Múltiplo;https://ri.bancomercantil.com.br/;['BMEB3', 'BMEB4'];False
77;34.169.557/0001-72;1309;BANCO MERCANTIL DE INVESTIMENTOS S.A.;BANCO MERCANTIL DE INVESTIMENTOS SA;1971-03-26;Bancos;FASE OPERACIONAL;PRIVADO;Avenida do Contorno, 5800;14º andar;Savassi;BELO HORIZONTE;MG;30110042.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Investimentos / Financiamentos;https://ri.bancomercantil.com.br/;['BMIN3', 'BMIN4'];False
79;59.285.411/0001-13;21199;BANCO PAN SA;BANCO PAN SA;1991-01-01;Bancos;FASE OPERACIONAL;PRIVADO;Avenida Paulista, 1374;16º andar;Bela Vista;SÃO PAULO;SP;1310100.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Banco múltiplo com carteira comercial;www.bancopan.com.br;['BPAN4'];False
80;62.144.175/0001-20;20567;BANCO PINE S/A;BANCO PINE S/A;1997-05-01;Bancos;FASE OPERACIONAL;PRIVADO;AV. PRESIDENTE JUSCELINO KUBITSCHEK, 1830- SALAS 44, 54 E 64;4º, 5º E 6º ANDARES;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4543900.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Banco regional brasileiro, de capital aberto, que há mais de vinte e cinco anos destaca-se em financiar e assessorar grandes e médias empresas.;www.pine.com;['PINE3', 'PINE4'];False
82;90.400.888/0001-42;20532;BANCO SANTANDER (BRASIL) S.A.;BANCO SANTANDER (BRASIL) S.A.;1985-08-09;Bancos;FASE OPERACIONAL;ESTRANGEIRO HOLDING;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, Nº 2041;CJ 281, BLOCO A;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4543011.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Banco Múltiplo com Carteira Comercial;www.santander.com.br;['SANB11'];True
83;28.127.603/0001-78;1155;BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO;BANESTES S/A;1936-06-17;Bancos;FASE OPERACIONAL;ESTATAL;AV. PRINCESA ISABEL;574, BL B, 9 ANDAR;CENTRO;VITÓRIA;ES;29010931.0;KPMG AUDITORES INDEPENDENTES LTDA.;Intermediação Financeira inerente aos Bancos Múltiplos por meio das carteiras autorizadas, inclusive Operações de Câmbio.;www.banestes.com.br;['BEES3', 'BEES4'];False
84;60.851.615/0001-53;1520;BARDELLA S.A. INDS MECANICAS - EM RECUPERAÇÃO JUDICIAL;BARDELLA;1911-02-11;Máquinas, Equipamentos, Veículos e Peças;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;AV. ANTONIO BARDELLA;525;CUMBICA;GUARULHOS;SP;7220902.0;MOREIRA ASSOCIADOS AUDITORES INDEPENDENTES S/S;Bens de capital, Produtos e Serviços para os segmentos de Metalurgia, Movimentação de Materiais, Óleo e Gás, Energia e Aços Laminados e Trefilados, para os mercados nacionais e internacional;www.bardella.com.br;['BDLL3', 'BDLL4'];False
85;61.374.161/0001-30;1562;BAUMER SA;BAUMER;1955-12-28;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;AVENIDA PREFEITO ANTONIO TAVARES LEITE, 181;;PARQUE DA EMPRESA;MOGI MIRIM;SP;13803330.0;JPPS AUDITORES INDEPENDENTES S/S LTDA.;Fabricação aparelhos e instrumentos p/ uso medico hospitalar e ortopedia;www.baumer.com.br;['BALM3', 'BALM4'];False
86;17.344.597/0001-94;23159;BB SEGURIDADE PARTICIPAÇÕES S.A.;;2012-12-20;Seguradoras e Corretoras;FASE OPERACIONAL;ESTATAL;SAUN, Quadra 05, Bloco B, 3º andar;Edifício BB;Asa Norte;BRASÍLIA;DF;70040912.0;KPMG AUDITORES INDEPENDENTES LTDA.;Participação no capital social de outras sociedades que realizem quaisquer atividades reguladas pela SUSEP e ANS, além de corretagem desses produtos.;www.bbseguridaderi.com.br;['BBSE3'];True
87;01.107.327/0001-20;24660;BBM LOGÍSTICA S.A.;BBM LOGÍSTICA S.A.;1996-03-06;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Rua Tenente Djalma Dutra;N° 915, Sala 602;Centro;SÃO JOSÉ DOS PINHAIS;PR;83005360.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Prestação de serviços logísticos através de operações dedicadas e transporte de carga geral fracionada.;www.bbmlogística.com.br;['BBML3'];False
88;09.042.817/0001-05;25500;BEMOBI MOBILE TECH S.A.;BEMOBI MOBILE TECH S.A.;2007-08-28;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Av. Barão de Tefé, n. 27;12º Andar;Saúde;RIO DE JANEIRO;RJ;20220460.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Desenvolvimento e licenciamento de programas de computador não-customizáveis;ri.bemobi.com.br;['BMOB3'];False
89;02.762.124/0001-30;17884;BETAPART PARTICIPAÇÕES SA;BETAPART PARTICIPAÇÕES SA;1998-08-27;Crédito Imobiliário;FASE OPERACIONAL;PRIVADO HOLDING;Av. Presidente Wilson, nº 231;28º andar (parte);Centro;RIO DE JANEIRO;RJ;20030021.0;BKR - LOPES, MACHADO AUDITORES;Participação em outras sociedades.;http://www.betapart.com.br/home/index.aspx;['BETP3'];False
90;56.992.423/0001-90;1694;BICICLETAS MONARK SA;MONARK;1948-05-25;Brinquedos e Lazer;FASE OPERACIONAL;PRIVADO;Rua Francisco Lanzi Tancler, 130;Distrito Industrial;Domingos Giomi;INDAIATUBA;SP;13347370.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Fabricação e Comercialização de Bicicletas;www.monark.com.br;['BMKS3'];False
91;04.752.991/0001-10;19305;BIOMM SA;BIOMM SA;2001-09-19;Farmacêutico e Higiene;FASE PRÉ-OPERACIONAL;PRIVADO;Avenida Regent;nº 705,Lote 15 ao 21;Alphaville;NOVA LIMA;MG;34018000.0;KPMG AUDITORES INDEPENDENTES LTDA.;Empresa brasileira com sua atividade focada no desenvolvimento e comercialização de medicamentos biotecnológicos por meio de parcerias estratégicas e fábrica própria.;www.biomm.com;['BIOM3'];False
93;58.430.828/0001-60;24627;BLAU FARMACÊUTICA S.A.;BLAU FARMACÊUTICA S.A.;1987-12-09;Farmacêutico e Higiene;FASE OPERACIONAL;PRIVADO;Rodovia Raposo Tavares, Km 30,5, n.º 2.833, Unidade I;prédios 100/110;Barro Branco;COTIA;SP;6705030.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia dedica-se à fabricação, comercialização, pesquisa e desenvolvimento de medicamentos de alta complexidade.;ri.blau.com;['BLAU3'];False
97;10.807.374/0001-77;25704;BOA SAFRA SEMENTES S.A;BOA SAFRA SEMENTES S.A.;2009-04-07;Alimentos;FASE OPERACIONAL;PRIVADO;Avenida Circular;209;Setor Industrial;FORMOSA;GO;73813014.0;KPMG AUDITORES INDEPENDENTES LTDA.;Produção de sementes certificadas, exceto de forrageiras para pasto.Comércio atacadista de sementes, flores, plantas e gramas.;www.boasafrasementes.com.br;['SOJA3'];False
