Code;Details
51268;ALPHABET INC. (REGISTRO ATIVO)
25275;ALPHAVILLE S.A. (REGISTRO ATIVO)
91260;ALPHAVILLE URBANISMO S.A. (REGISTRO NÃO CONCEDIDO)
900472;ALPHAVILLE URBANISMO S/A. (REGISTRO ATIVO)
329;ALPINA BRASIL SA MAQ IMP AGRIC (REGISTRO CANCELADO)
337;ALPLAN SA IND COM CH MAD AGLOM (REGISTRO CANCELADO)
911123;ALSOL ENERGIAS RENOVAVEIS S.A. (REGISTRO ATIVO)
17310;AMER.LAT.TELEC.AVANÇADAS S/A (REGISTRO CANCELADO)
18066;ALTERE SECURITIZADORA S.A. (REGISTRO ATIVO)
55972;ALTERYX INC (REGISTRO ATIVO)
27030;ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA (REGISTRO ATIVO)
916978;ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA (REGISTRO ATIVO)
93602;ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA (NÃO CONCEDIDO) (REGISTRO NÃO CONCEDIDO)
900256;ALTO ENERGIA RENOVÁVEL S.A (REGISTRO ATIVO)
51527;ALTRIA GROUP, INC. (REGISTRO ATIVO)
23183;ALTUS SISTEMAS DE AUTOMAÇÃO S.A. (REGISTRO CANCELADO)
900266;ALUBAM PARTICIPACOES S/A (REGISTRO ATIVO)
27430;ALUBAR METAIS E CABOS S.A. (REGISTRO ATIVO)
917461;ALUBAR METAIS E CABOS S.A. (REGISTRO ATIVO)
95257;ALUBAR METAIS E CABOS S.A. (NÃO CONCEDIDO) (REGISTRO NÃO CONCEDIDO)
521019;ALUMAZON COMPONENTES DA AMAZONIA S.A. (REGISTRO ATIVO)
345;ALUMINIO EXTRUSAO LAMINACAO (REGISTRO CANCELADO)
21490;ALUPAR INVESTIMENTO S/A (REGISTRO ATIVO)
900274;ALUSA ENGENHARIA S.A. (REGISTRO ATIVO)
353;ALUSUD ALUMINIO DO SUL SA (REGISTRO CANCELADO)
26433;ALVAREZ & MARSAL INVESTIMENTOS I S.A. (REGISTRO ATIVO)
910398;ALVOAR LACTEOS NORDESTE S/A (REGISTRO ATIVO)
361;AMADEO ROSSI SA MET MUNICOES (REGISTRO CANCELADO)
24503;AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A (REGISTRO CANCELADO)
900282;AMAM PARTICIPACOES SPE S.A. (REGISTRO ATIVO)
16918;AMARANTE PARTICIPACOES SA (REGISTRO CANCELADO)
900035;AMATA  S.A. (REGISTRO ATIVO)
50202;AMAZON.COM, INC (REGISTRO ATIVO)
913301;AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA S.A. (REGISTRO ATIVO)
370;AMAZONAS PRODS P CALCADOS SA (REGISTRO CANCELADO)
26930;AMAZONE FUN PARKS S.A. (REGISTRO CANCELADO)
92304;AMAZONE FUN PARKS S.A. (REGISTRO NÃO CONCEDIDO)
93130;AMAZONE FUN PARKS S.A. (NÃO CONCEDIDO) (REGISTRO NÃO CONCEDIDO)
17280;AMAZONIA CELULAR S/A (REGISTRO CANCELADO)
520187;AMAZÔNIA GOLF HOTELARIA E TURISMO S/A (REGISTRO ATIVO)
916862;AMAZONIA SOLAR SEC. DE CREDITOS FINANCEIROS (REGISTRO ATIVO)
912170;AMBAR ENERGIA LTDA (REGISTRO ATIVO)
915983;AMBAR URUGUAIANA ENERGIA S.A.
